account_id,customer_id,account_type,open_date,balance,branch
,1270.0,Savings,2024-01-01,294612.0,
,,Current,2024-01-01,200117.0,Pune-Central
501585.0,,Salary,,177739.0,Mumbai-Main
,2534.0,Savings,2024-01-01,390512.0,Pune-Main
500791.0,1528.0,Salary,2024-01-02,15554.0,Delhi-Main
500937.0,1627.0,Savings,2024-01-02,424444.0,Pune-Central
500324.0,1207.0,Salary,,160530.0,
,2922.0,Savings,2024-01-03,192875.0,
501148.0,1772.0,Current,2024-01-03,38312.0,Delhi-Main
501883.0,2266.0,Current,2024-01-03,46390.0,Bangalore-East
,1643.0,Salary,,450366.0,Hyderabad-South
502869.0,2916.0,,,26328.0,Pune-Main
501737.0,,Savings,2024-01-04,491379.0,Mumbai-Main
502533.0,,Savings,2024-01-04,217185.0,Chennai-Main
502840.0,2895.0,Salary,2024-01-05,458914.0,Mumbai-West
500679.0,,Salary,2024-01-05,378783.0,
500693.0,1457.0,Current,2024-01-05,288073.0,Chennai-Main
501396.0,1935.0,Savings,,171750.0,Mumbai-West
501216.0,1816.0,Savings,2024-01-06,227972.0,Chennai-North
502907.0,2940.0,Salary,2024-01-06,210072.0,Pune-Main
501215.0,1816.0,Salary,2024-01-06,337800.0,Chennai-Main
502165.0,2453.0,Salary,2024-01-06,114260.0,
502323.0,2557.0,Savings,2024-01-06,107771.0,Mumbai-Main
501308.0,1878.0,Savings,2024-01-07,98301.0,Chennai-North
500618.0,1409.0,Current,2024-01-07,8704.0,Hyderabad-Main
502985.0,2990.0,Salary,2024-01-07,206581.0,Delhi-Main
502371.0,2587.0,Salary,2024-01-07,28048.0,Mumbai-Main
501802.0,2208.0,Salary,2024-01-08,121012.0,Hyderabad-South
501369.0,,,2024-01-08,295667.0,Mumbai-West
501996.0,2339.0,Current,2024-01-08,,Bangalore-Main
502998.0,2998.0,Fixed Deposit,2024-01-09,8201.0,Delhi-North
502944.0,2965.0,Salary,2024-01-09,5045.0,Pune-Main
501238.0,1833.0,Salary,2024-01-09,316417.0,Delhi-Main
501618.0,2087.0,Savings,2024-01-10,383382.0,Hyderabad-Main
502888.0,2928.0,Current,2024-01-10,215028.0,Bangalore-Main
501346.0,1902.0,Savings,2024-01-11,117662.0,Hyderabad-South
502416.0,2617.0,Salary,2024-01-11,,Pune-Central
502393.0,2603.0,Salary,2024-01-11,452765.0,Delhi-Main
502476.0,,Fixed Deposit,2024-01-11,75095.0,Delhi-Main
502272.0,2523.0,Savings,2024-01-11,478835.0,Pune-Central
501017.0,1678.0,Fixed Deposit,,482554.0,Mumbai-Main
500866.0,1579.0,Salary,,,Pune-Main
,1452.0,Fixed Deposit,2024-01-12,284147.0,
500259.0,1165.0,Salary,,14936.0,Bangalore-Main
501463.0,1979.0,Savings,2024-01-12,56939.0,Pune-Main
